9.030416149667879963e-03,1.458369828272984385e-02,2.116062126531269641e-02,2.583683611002751332e-02,2.385687930204697521e-02,3.156254517159415990e-02,3.686863514233663236e-02,3.907724384615415131e-02,4.467032172677091323e-02,4.940252113041648796e-02,5.195425283371515879e-02,5.793645629401667635e-02,6.102071544032192790e-02,6.489813542652883571e-02,7.093639172338872534e-02,7.239423461286208228e-02,7.665335235695576455e-02,7.978910060492648559e-02,7.987666723055925067e-02,8.483010474904921494e-02
7.645237803328633688e-03,1.607722883553978910e-02,1.916500218279838449e-02,1.965092062486783683e-02,1.760913720731850651e-02,2.347413080713794953e-02,2.587758444263783819e-02,2.880279418143329856e-02,3.192240121627080984e-02,3.313913217562910324e-02,3.880123830759883014e-02,3.993815918694990780e-02,4.536503061871082626e-02,4.920731831950089091e-02,4.913056219376759487e-02,5.076377567912690458e-02,5.125970739986601687e-02,5.415975508468977989e-02,5.571258357717018966e-02,6.080171552181737327e-02
5.064416668653710062e-03,8.962728139651604184e-03,1.048945846162809871e-02,1.623101189513235371e-02,1.508079077637279435e-02,1.728366629898367424e-02,1.978556718545519677e-02,2.293955140600521803e-02,2.383815607931383945e-02,2.897145097372885725e-02,2.981499919414381736e-02,3.439592778325215733e-02,3.241570980216311459e-02,4.024117140114501917e-02,4.014839906719921969e-02,4.199344121670746388e-02,4.134315553620764028e-02,4.621059008653450456e-02,4.585491811361592368e-02,4.843843942402445424e-02
7.724259588973274478e-03,9.564351590713313783e-03,9.760137894624624708e-03,1.549735119134522388e-02,1.385350251067348284e-02,1.614463627094233147e-02,1.810769823851727384e-02,2.013588982796636270e-02,2.354844415202925201e-02,2.769205890426573030e-02,2.513565424398099199e-02,2.745121001312945258e-02,3.014391486430190517e-02,3.316655544019324331e-02,3.568093427163740450e-02,3.590425035315676638e-02,3.661893365862327332e-02,4.057568303444866048e-02,3.980893749795837849e-02,4.049303780477479103e-02
3.577864214452726455e-03,7.061502986750441656e-03,1.098214071603214638e-02,1.056383862344310171e-02,1.572144558683676724e-02,1.479754073598806875e-02,1.700887296865936232e-02,1.600740120371457395e-02,1.840509234943369168e-02,2.071505193558642599e-02,2.266254822204954306e-02,2.392552598077239689e-02,2.833656087988222633e-02,2.795108610958615264e-02,3.027626879523217379e-02,3.293116424186710856e-02,3.320906085733734553e-02,3.521451188800416021e-02,3.578980279159367506e-02,3.712684373601186916e-02
3.919640908555096885e-03,6.923977232056582713e-03,1.050626749731562934e-02,9.434901802761916714e-03,1.185630074688882353e-02,1.222587175401770344e-02,1.443725452556696501e-02,1.582026710016208940e-02,1.833891948543409089e-02,1.920430904086590715e-02,2.147853587435455402e-02,2.492480541510575312e-02,2.572571231417089196e-02,2.561107210656590055e-02,2.712520204640862104e-02,2.854708743833290346e-02,3.030076056507484752e-02,3.201174928468552422e-02,3.322133214986251748e-02,3.419278004986765762e-02
4.211624567622036797e-03,5.909902708208875956e-03,1.095496543862529114e-02,9.132086584477967089e-03,1.270703811767152566e-02,1.205550011069023847e-02,1.267308033428223360e-02,1.312922555873060303e-02,1.542803961032564522e-02,2.025267793745895439e-02,2.033927967374139084e-02,2.005525339079428093e-02,2.238940077166312256e-02,2.402628206932387600e-02,2.569691178435390758e-02,2.674927540988917760e-02,2.782712436702722628e-02,2.841496084575742195e-02,2.913139366758891666e-02,3.254988817358882291e-02
5.427470254055931018e-03,5.688680451785596559e-03,5.760976695376048527e-03,8.048248247463243507e-03,9.277787344496952679e-03,1.039615190161671809e-02,1.316226647025362656e-02,1.373355368932200650e-02,1.527248694290158151e-02,1.687765865991883163e-02,1.800876159858636263e-02,2.146930078086643767e-02,2.105053521452698168e-02,2.206437216692690509e-02,2.379889243499972926e-02,2.519531601257331277e-02,2.615564389428563438e-02,2.780871013986173715e-02,2.995059371659128042e-02,2.880939445962130141e-02
3.842932796817290827e-03,5.499131387577489184e-03,6.440919188954147279e-03,7.508546152761147972e-03,9.339666744643862137e-03,1.137780745644505556e-02,1.157483039265343183e-02,1.280281279537652875e-02,1.466282258246823754e-02,1.676970180391280582e-02,1.674502401297611048e-02,1.944439333075397014e-02,1.937437088825746598e-02,2.186430940487096158e-02,2.464512556756322248e-02,2.377621290789665859e-02,2.572158165025276513e-02,2.563229862907489415e-02,2.652800887383725131e-02,2.685288714252936915e-02
3.709778022186943202e-03,4.474008192084366446e-03,5.420012940754908963e-03,6.443268326455680456e-03,9.212587446600245880e-03,1.109682698320424259e-02,1.204558312052279694e-02,1.306093636495333360e-02,1.433465023287786716e-02,1.543369625285429848e-02,1.509458763510999370e-02,1.909377175049403394e-02,1.942922807855418377e-02,2.003258185961446711e-02,2.054397959484205449e-02,2.239051169002898023e-02,2.280658549654293946e-02,2.446959734593225425e-02,2.599460218607714881e-02,2.668402329028825987e-02
4.169558085640010132e-03,4.650330859255201975e-03,5.767899199123380054e-03,6.663288070320504478e-03,7.616288065773046435e-03,9.593069510527652347e-03,1.031362515036390350e-02,1.183359995766234546e-02,1.350417823957737566e-02,1.467957227782103538e-02,1.615391371644465945e-02,1.620114220076029204e-02,1.828096538385812556e-02,1.987943176363258027e-02,2.030992414163879795e-02,2.079897216198713442e-02,2.232108239163985847e-02,2.363113475351547726e-02,2.375675843730175318e-02,2.562126103624896498e-02
2.876322198977264519e-03,4.288126398628302853e-03,4.952925164680808436e-03,7.646142605933646877e-03,8.668502215250501255e-03,9.938591523540193928e-03,1.168587807412808585e-02,1.113529667956585610e-02,1.239038966764250890e-02,1.333453002109444632e-02,1.639837434547494407e-02,1.761164045956262192e-02,1.721701952903490623e-02,1.796082797006605392e-02,1.909103302211799871e-02,2.055074345217059242e-02,2.192422535283393079e-02,2.292651930620338147e-02,2.279781950891316203e-02,2.490157586603541917e-02
2.997708958681776729e-03,4.452996888384305220e-03,7.371130892873213776e-03,6.542116633492293075e-03,6.869134141055430187e-03,9.597577486431266292e-03,1.281518770546526825e-02,1.234616657683310602e-02,1.193426778575264711e-02,1.427085660946094368e-02,1.416308856266987153e-02,1.536110333615804333e-02,1.644752227462883618e-02,1.724364718630387247e-02,1.928721925486192104e-02,1.956719225097145604e-02,2.007868897537808811e-02,2.163504314336172143e-02,2.277987004637696891e-02,2.437934489855421438e-02
